unit	exit	seconds	findings_lines	dirty	banner
man-page:color/types	0	109	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/brighten	0	130	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/desaturate	0	135	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/darken	0	159	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/overview	0	166	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/contrastRatio	0	202	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/fromHex	0	99	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/fromPacked	0	70	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/fromLinear	0	127	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/gray	0	93	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/fromName	0	124	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/grayscale	0	114	6	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/hsl	0	114	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/isLight	0	64	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/isDark	0	86	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/invert	0	107	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/hsla	0	144	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/luminance	0	70	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/mix	0	109	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/rgb	0	100	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/nameOf	0	135	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/rgba	0	104	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/toHex	0	68	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/rotateHue	0	143	6	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/saturate	0	132	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/toHexAlpha	0	75	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/toLinear	0	94	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/toHsl	0	119	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/toPacked	0	100	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:color/withAlpha	0	90	15	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
