unit	exit	seconds	findings_lines	dirty	banner
man-page:encoding/overview	0	93	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/types	0	113	14	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base32Decode	0	128	10	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base32Encode	0	153	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base64Encode	0	96	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base64UrlDecode	0	106	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base64UrlEncode	0	86	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/base64Decode	0	178	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/codepageEncode	0	99	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/codepageDecode	0	136	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/formUrlDecode	0	108	6	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/formUrlEncode	0	119	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/hexEncode	0	104	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/htmlEscape	0	105	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/hexDecode	0	121	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/htmlUnescape	0	106	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/percentDecode	0	83	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/percentEncode	0	107	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/punycodeEncode	0	120	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/sleb128Decode	0	120	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/punycodeDecode	0	198	33	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/uleb128Encode	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/uleb128Decode	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf16Decode	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/sleb128Encode	0	106	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf16Encode	FAILED	11	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf32Decode	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf32Encode	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf8Decode	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/varintDecode	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/utf8Encode	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:encoding/varintEncode	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
